Title,Abstract,StoreId,ArticleType,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
THE BATTLE AT PITTSBURGH LANDING.,"I arrived here this morning, and find that so far as fighting is concerned, all is and has been quiet on the Tennessee since Monday last, but in no other respect can this remark be made truthfully, for confusion confounded or confounded confusion?whichever expression is strongest?I think never reigned more supreme since the time of Babel, that we read of. And to make matters intensely interesting, the mud was not less than five inches deep anywhere, and in many places as deep as a pole.",91730263,Historical Newspapers," Copyright New York Times Company Apr 20, 1862"," 78686097 , 1445930 , 113715", front_page," Apr 20, 1862",0362-4331, English, English, 1," New York, N.Y.","Apr 20, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91730263?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+PITTSBURGH+LANDING.%3A+AFTER+THE+CONTEST--APPEARANCE+OF+THE+BATTLEFIELD--STORY+OF+ONE+ENGAGED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-20&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE WAR IN THE SOUTHWEST.,"The days after the battle have been spent in burying the dead and collecting the wounded. Meantime no operations of any importance have been attempted against the enemy. Last night their rear guard was still within eight miles of us. If cavalry is ever to be of any use to us, then was the time to let it out. But no pursuit has been made. Several regiments were ordered out yesterday, on what I suppose was intended as a reconnoissance. They came up to the rebel rear guard, made a push at it, and came back something the worse for wear. There were certainly no signs in the movements there that the retreat was a rout.",91729084,Historical Newspapers," Copyright New York Times Company Apr 19, 1862"," 80266871 , 1458858 , 113715", article," Apr 19, 1862",0362-4331, English, English, 7," New York, N.Y.","Apr 19, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91729084?accountid=13567, 7,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+WAR+IN+THE+SOUTHWEST.%3A+THE+BATTLE+AT+PITTSBURGH+LANDING+AFTER+THE+BATTLE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=7&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE AT PITTSBURGH LANDING.,"The following reports have been received at the Navy Department, to-day, detailing the valuable service rendered by our gunboats, at the battle at Pittsburgh Landing:",91630620,Historical Newspapers," Copyright New York Times Company Apr 18, 1862"," 78685984 , 1445929 , 113715", front_page," Apr 18, 1862",0362-4331, English, English, 1," New York, N.Y.","Apr 18, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91630620?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+PITTSBURGH+LANDING.%3A+THE+PART+TAKEN+BY+THE+GUNBOATS+TYLER+AND+LEXINGTON.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
TROOPS IN THE PITTSBURGH BATTLE ON MONDAY.,"The correspondent of the Cincinnati Gazette says that the line of battle agreed upon for our forces on Monday was: Right wing, Major-Gen. LEW. WALLACK; left wing, Brig.-Gen. NELSON. Between these, beginning at the left, Brig.-Gens. TOM. CRITTENDEN, A. McD. McCook, HURLBURT, McCLERNAND and SHERMAN. In the divisions of the three latter were to be included also the remains of PRENTISS' and W.H.L.WALLACE's commands?shattered, disorganized, and left without commanders, through the capture of one, and the probably mortal wound of the other.",91632609,Historical Newspapers," Copyright New York Times Company Apr 18, 1862"," 78685985 , 1445929 , 113715", front_page," Apr 18, 1862",0362-4331, English, English, 1," New York, N.Y.","Apr 18, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91632609?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=TROOPS+IN+THE+PITTSBURGH+BATTLE+ON+MONDAY.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
SHILOH. We learn from Gen. BEAUREGARD'S,,91653884,Historical Newspapers," Copyright New York Times Company Apr 18, 1862"," 78686031-1 , 1445929 , 113715", article," Apr 18, 1862",0362-4331, English, English, 4," New York, N.Y.","Apr 18, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91653884?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=SHILOH.+We+learn+from+Gen.+BEAUREGARD%27S&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE AT PITTSBURGH LANDING.,"Our arms have just been crowned with a glorious and most important victory near Corinth, Miss. The particulars are yet meagre, but enough to satisfy us that the great Yankee army under BUELL has been signally defeated by our brave Southern troops, led by Generals worthy of them and the cause. Our joy at the event is mingled with grief for the death of the Commanding-General, and the heavy loss of gallant Southern men who perished in the grand battle.",91632280,Historical Newspapers," Copyright New York Times Company Apr 18, 1862"," 78686083 , 1445929 , 113715", article," Apr 18, 1862",0362-4331, English, English, 8," New York, N.Y.","Apr 18, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91632280?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+PITTSBURGH+LANDING.%3A+COMMENTS+OF+THE+PRESS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
NEWS FROM THE SOUTH.,To the Senate and House of Representatives of the Confederate States of America:,91665668,Historical Newspapers," Copyright New York Times Company Apr 18, 1862"," 78686082-1 , 1445929 , 113715", article," Apr 18, 1862",0362-4331, English, English, 8," New York, N.Y.","Apr 18, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91665668?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=NEWS+FROM+THE+SOUTH.%3A+MESSAGE+OF+JEFF.+DAVIS+ON+THE+DEATH+OF+GEN.+JOHNSTON.+COMMENTS+OF+THE+REBEL+PRESS+ON+THE+LATE+BATTLE.+MAJ.-GEN.+A.+S.+JOHNSTON.+MESSAGE+FROM+JEFF.+DAVIS+TO+THE+REBEL+CONGRESS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE PITTSBURGH LANDING BATTLE,"CAPTAIN :It becomes my duty again to report another battle fought between two great armies, one contending for the maintenance of the boss Government ever devised,and the other for its destruction. It is pleasant to record the success of the army contending for the former principle.",91730775,Historical Newspapers," Copyright New York Times Company Apr 17, 1862"," 78685896-1 , 1445928 , 113715", front_page," Apr 17, 1862",0362-4331, English, English, 1," New York, N.Y.","Apr 17, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91730775?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+PITTSBURGH+LANDING+BATTLE%3A+GEN.GRANT%27S+OFFICIAL+REPORT+WITH+THE+ACCOMPANYING+DOCUMENTS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE WAR IN THE SOUTHWEST.,,91739759,Historical Newspapers," Copyright New York Times Company Apr 17, 1862"," 78685894-1 , 1445928 , 113715", front_page," Apr 17, 1862",0362-4331, English, English, 1," New York, N.Y.","Apr 17, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91739759?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+WAR+IN+THE+SOUTHWEST.%3A+COMMODORE+FOOTE+AND+GEN.+POPE+AT+FORT+PILLOW.+THE+GUNBOATS+AND+MORTARS+READY+TO+OPEN+FIRE.+GEN.+POPE%27S+ARMY+ON+THE+ARKANSAS+SIDE.+GRANT%27S+OFFICIAL+REPORT+OF+THE+BATTLE+AT+PITTSBURGH+LANDING.+THE+FIGHTING+ON+THE+SECOND+DAY+COMMENCED+BY+OUR+FORCES.+GEN.+GRANT%27S+CORRESPONDENCE+WITH+BEAUREGARD.+A+CAVALRY+RECONNOISSANCE+ON+THE+CORINTH+ROAD.+ADDITIONAL+LIST+OF+WOUNDED.+COMMODORE+FOOTE+AND+GEN.+POPE+AT+FORT+PILLOW.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
PARTIAL LIST OF WOUNDED.,"From our Western exchanges we compile the following alphabetical list of those wounded in the battle of Pittsburgh Landing, most of whom are now in Hospital at Cairo:",91770144,Historical Newspapers," Copyright New York Times Company Apr 17, 1862"," 78685899 , 1445928 , 113715", front_page," Apr 17, 1862",0362-4331, English, English, 1," New York, N.Y.","Apr 17, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91770144?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=PARTIAL+LIST+OF+WOUNDED.%3A+THE+WOUNDED+AT+PITTSBURGH+LANDING.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-04-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
