Title,Abstract,StoreId,ArticleType,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
GEN. THOMAS' ARMY.,"The rebel retreat from Franklin to Duck River beggars all description. HOOD told his Corps Commanders to get off the best way they could with their commands. FRANK CHEATHAM told his aunt, Miss PAGE, that HOOD was ordered to Nashville against his own wishes, but he blames HOOD for not attacking SCHOFIELD at Spring Hill. HOOD ordered BATE to attack at Spring Hill, and he didn't do it.",91882873,Historical Newspapers," Copyright New York Times Company Dec 24, 1864"," 78996257-1 , 1449543 , 113715", front_page," Dec 24, 1864",0362-4331, English, English, 1," New York, N.Y.","Dec 24, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91882873?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GEN.+THOMAS%27+ARMY.%3A+PARTICULARS+OF+HOOD%27S+DEFEAT+AND+FLIGHT.+EIGHTEEN+GENERAL+OFFICERS+AND+SEVENTEEN+THOUSAND+MEN+DISABLED.+FIFTY-ONE+CANNON+CAPTURED.+HOOD%27S+PONTOONS+ON+THE+TENNESSE+OUT+OF+REACH+OF+OUR+GUNBOATS.+OUR+ARMY+STILL+PURSUING.+THE+ADVANCE+ACROSS+DUCK+RIVER.+HOOD%27S+ADVANCE+AT+PULASKI.+THE+VERY+LATEST.+THE+BATTLE+OF+NASHVILLE.+THURSDAY%27S+FIGHT.+FRIDAY%27S+FIGHT.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-24&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE LATEST.,"An officer of Gen. ROUSSEAU'S Staff, direct from the headquarters of Gen. THOMAS, arrived here last night. Our forces were then at Spring Hill, near Columbia. HOOD'S army--the remnant of it--was at Duck River, which it was crossing as fast as possible. A courier who left Franklin yesterday, reports, the rebel forces in full retreat.",91816793,Historical Newspapers," Copyright New York Times Company Dec 21, 1864"," 78995976-1 , 1449540 , 113715", front_page," Dec 21, 1864",0362-4331, English, English, 1," New York, N.Y.","Dec 21, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91816793?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+LATEST.%3A+HOOD+RETREATING+ACROSS+DUCK+RIVER--CAPTURE+OF+THREE+MORE+GUNS--HEAVY+LOSS+OF+FORREST+AT+MURFREESBORO.+CAPTURE+OF+THREE+THOUSAND+REBEL+WOUNDED--THE+RUMORED+DEFEAT+OF+FORREST+BY+ROUSSEAU%2C+NEAR+MURFREESBORO--HEAVY+RAINS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-21&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE PURSUIT ON MONDAY.,"Our forces are advancing. This morning, at about 8 o'clock, they captured a body of rebel prisoners estimated at 3,000 in number. Among them are one General and a number of commissioned officers.",91799637,Historical Newspapers," Copyright New York Times Company Dec 21, 1864"," 78995978 , 1449540 , 113715", front_page," Dec 21, 1864",0362-4331, English, English, 1," New York, N.Y.","Dec 21, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91799637?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+PURSUIT+ON+MONDAY.%3A+MORE+PRISONERS+CAPTURED+LOSSES+AND+INCIDENTS+OF+THE+FIGHTING.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-21&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
The Fruits of General Thomas' Splendid Victory.,"THOMAS is pursuing the enemy to Duck River. We have nearly all HOOD'S artillery, and his army is really fearfully demoralized. All the rivers are high, and all the bridges in HOOD'S front destroyed. Our pontoons are up. We captured three thousand of the enemy's wounded at Franklin, Tenn. Since Thursday, we have captured and brought in just six thousand prisoners, making nine thousand, counting the wounded taken at Franklin.",91839557,Historical Newspapers," Copyright New York Times Company Dec 21, 1864"," 78995975 , 1449540 , 113715", front_page," Dec 21, 1864",0362-4331, English, English, 1," New York, N.Y.","Dec 21, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91839557?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=The+Fruits+of+General+Thomas%27+Splendid+Victory.%3A+Nine+Thousand+Prisoners+Captured.+Sixty-one+Pieces+of+Artillery+Taken.+Three+Thousand+Rebel+Wounded+Captured+at+Franklin.Our+Loss+Not+Over+Thirty-five+Hundred.Reported+Defeat+of+Breckenridge+by+Stoneman.Nearly+All+His+Artillery+Said+to+be+Captured.Murfreesboro%2C+Chattanooga+and+Knoxville+All+Right.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-21&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
VICTORY!,"Maj. Gen. Jno. A. Dix, New-York: An official dispatch from Gen. SHERMAN was received to-day, dated near midnight, Dec. 13, on the gunboat Dandelion, Ossabaw Sound. It was written before Gen. FOSTER had reached him. He reports, besides some ...",91864102,Historical Newspapers," Copyright New York Times Company Dec 19, 1864"," 78995820-1 , 1449538 , 113715", front_page," Dec 19, 1864",0362-4331, English, English, 1," New York, N.Y.","Dec 19, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91864102?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=VICTORY%21%3A+SHERMAN+AT+SAVANNAH--THOMAS+IN+TENNESSEE.+GREAT+NEWS+FROM+BOTH+ARMIES+THE+FIRST+OFFICIAL+DISPATCH+FROM+GEN.+SHERMAN.+HIS+SHORT+RECORD+OF+THE+GREAT+CAMPAIGN.+SAVANNAH+INVESTED.+ITS+DOOMED+GARRISON+OF+FIFTEEN+THOUSAND+MEN+AND+HARDEE.+SHERMAN%27S+ARMY+IN+SPLENDID+ORDER+THE+QUICK+CAPTURE+OF+FORT+MCALLISTER+AND+ITS+GARRISON.+GREAT+RAILROAD+DESTRUCTION+SHERMAN%27S+MOST+AGREEABLE+TRIP+IN+GEORGIA.+THE+TENNESSEE+NEWS+THE+GREAT+TRIUMPH+OF+GEN.+THOMAS+NEAR+NASHVILLE.+THREE+DAYS%27+FIGHTING.+THE+VICTORY+OVER+HOOD%27S+ARMY+STILL+IN+PROGRESS.+OVER+TEN+THOUSAND+PRISONERS+CAPTURED+IN+THREE+DAYS.+FORREST+KILLED.+FIFTEEN+HUNDRED+OF+HIS+CAVALRY+CAPTURED.+%5BOFFICIAL.%5D&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
OFFICIAL DISPATCHES.,"Major-Gen. John A. Dix: The following official report of the great victory achieved yesterday by Major-Gen. THOMAS and his gallant army over the rebel forces under Gen. HOOD in front of Nashville, was received this morning. One of the most surprising circumstances connected with the great achievement is the small loss suffered ...",91864163,Historical Newspapers," Copyright New York Times Company Dec 19, 1864"," 78995821-1 , 1449538 , 113715", front_page," Dec 19, 1864",0362-4331, English, English, 1," New York, N.Y.","Dec 19, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91864163?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=OFFICIAL+DISPATCHES.%3A+THE+ARMIES+IN+TENNESSEE+AND+IN+GEORGIA--FURTHER+DETAILS+OF+THE+FIGHTING+ON+THE+16TH+AT+NASHVILLE--THE+ENEMY+PRESSED+AT+ALL+POINTS+IN+HIS+LINE+OF+RETREAT--IMMENSE+CAPTURES+OF+GUNS+AND+PRISONERS--DETAILS+OF+THE+BATTLE+OF+THE+L5TH--THE+NEWS+FROM+SHERMAN--SAVANNAH+CLOSELY+BESIEGED--A+FORMAL+DEMAND+FOR+THE+SURRENDER+OF+THE+CITY.+%5BTHE+FOLLOWING+IMPORTANT+OFFICIAL+DISPATCHES+%28LESS+IMPORTANT%2C+HOWEVER%2C+THAN+THOSE+IN+THE+PRECEDING+COLUMNS%29+WERE+PUBLISHED+IN+OUR+EDITION+OF+YESTERDAY+MORNING.%5D+SECOND+DISPATCH.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
FROM GEN. THOMAS.,"The following official report of the great victory achieved yesterday by Major-Gen. THOMAS and his gallant army over the rebel forces under Gen. HOOD in front of Nashville, was received this morning. One of the most surprising circumstances connected with the great achievement is the small loss suffered by our troops, evincing ...",91835707,Historical Newspapers," Copyright New York Times Company Dec 18, 1864"," 78995713 , 1449536 , 113715", front_page," Dec 18, 1864",0362-4331, English, English, 1," New York, N.Y.","Dec 18, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91835707?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+GEN.+THOMAS.%3A+MAJOR-GEN.+JOHN+A.+DIX%3A&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE EFFECT OF SHERMAN'S CAMPAIGN.,"SHERMAN'S audacious march through the heart of our territory has given a new aspect to the war, and will effect a radical change in its conduct on our part. It is no longer a mere frontier war, to be waged by our armies in the field. It is brought to every man's door. Its threatening cloud darkens every man's habitation. We are called to grapple with the foe in our own homes, and by our own hearths.",91794221,Historical Newspapers," Copyright New York Times Company Dec 18, 1864"," 78995728 , 1449536 , 113715", front_page," Dec 18, 1864",0362-4331, English, English, 1," New York, N.Y.","Dec 18, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91794221?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+EFFECT+OF+SHERMAN%27S+CAMPAIGN.%3A+NO+STRATEGICAL+OBJECT.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE OF THE 15th.,I have to record one of the most important battles of the campaign. Though the artillery has not yet ceased to throw its leaden hail into the retreating enemy. I believe it to be a crushing defeat of HOOD.,91835803,Historical Newspapers," Copyright New York Times Company Dec 18, 1864"," 78995715 , 1449536 , 113715", front_page," Dec 18, 1864",0362-4331, English, English, 1," New York, N.Y.","Dec 18, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91835803?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+OF+THE+15th.%3A+CASUALTIES.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE SITUATION AT NASHVILLE.,"Notwithstanding the great bustle of the week, Sunday, as a general thing, in Nashville, is quite quiet. Government exacts no work of its employes, the noisy, army wagons are not heard, and all places of labor and trade are closed, as well as all places where intoxicating drinks are retailed. But, to-day, has been an exception to this state of things, the Sab bath being as excited and noisy as any day of the past week. Infantry have been marching, cavalry have been dashing, and batteries of artillery have...",91864328,Historical Newspapers," Copyright New York Times Company Dec 18, 1864"," 78995742-1 , 1449536 , 113715", article," Dec 18, 1864",0362-4331, English, English, 2," New York, N.Y.","Dec 18, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91864328?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+SITUATION+AT+NASHVILLE.%3A+AN+EXCITED+SUNDAY+PREPARING+FOR+THE+REBELS+STRATEGIC+IMPORTANCE+OF+THE+CITY.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
