"Title","Abstract","StoreId","ArticleType","Authors","copyright","digitalObjectIdentifier","documentType","entryDate","issn","language","languageOfSummary","pages","placeOfPublication","pubdate","pubtitle","year","DocumentURL","startPage","FindACopy","Database"
"THE BATTLE OF FRANKLIN.","It has pleased an all-wise and beneficent Creator to grant us another brilliant victory. The tranquillity of the little town of Franklin, Tenn., on Wednesday, Nov. 30, about 4 P.M., was suddenly interrupted by a tremendous clash of arms; and in two short hours the National forces, under Gen-",91837576,"Historical Newspapers"," From Our Own Correspondent.
From Our Own Correspondent."," Copyright New York Times Company Dec 9, 1864"," 78995316 , 1449531 , 113715"," article"," Dec 9, 1864","0362-4331"," English"," English",4," New York, N.Y.","Dec 9, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91837576?accountid=13567",4,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+OF+FRANKLIN.%3A+DETAILS+OF+THE+BATTLE+AT+FRANKLIN--OUR+GLORIOUS+VICTORY--MOVEMENTS+BEFORE+AND+AFTER+THE+BATTLE.&amp;rft.au=From+Our+Own+Correspondent.&amp;rft.aulast=From+Our+Own+Correspondent.&amp;rft.aufirst=&amp;rft.date=1864-12-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"THE WAR IN TENNESSEE.","Major Gen. STANLEY, who was wounded in the battle of Franklin, arrived here yesterday. He says the reports of the battle that have reached the public have not been exaggerated. The rebels met with their heaviest losses in attacking our trains, which were of enormous size and value, and filled the roads ...",91807404,"Historical Newspapers",," Copyright New York Times Company Dec 6, 1864"," 79956907 , 1456202 , 113715"," front_page"," Dec 6, 1864","0362-4331"," English"," English",1," New York, N.Y.","Dec 6, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91807404?accountid=13567",1,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+WAR+IN+TENNESSEE.%3A+THE+BATTLE+OF+FRANKLIN.+GEN.+STANLEY%27S+ACCOUNT+INTERESTING+PARTICULARS.+REPORTS+FROM+LOUISVILLE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"FURTHER DETAILS OF THE BATTLE AT FRANKLIN.","The correspondent of the Gazette, writing from Nashville, gives the following particulars of the battle of Franklin, Tennessee:",91866092,"Historical Newspapers",," Copyright New York Times Company Dec 4, 1864"," 78735599-1 , 1446430 , 113715"," article"," Dec 4, 1864","0362-4331"," English"," English",8," New York, N.Y.","Dec 4, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91866092?accountid=13567",8,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FURTHER+DETAILS+OF+THE+BATTLE+AT+FRANKLIN.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-04&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"LATER.","Additional reports received increase the magnitude of the late victory at Franklin. Thirty stands of colors were captured by our forces. The Fortyninth Indiana captured five, the Eighty-eighth Illinois three, REILLY'S old brigade eight, and the Twentythird corps captured four.",91809554,"Historical Newspapers",," Copyright New York Times Company Dec 3, 1864"," 78735416 , 1446429 , 113715"," front_page"," Dec 3, 1864","0362-4331"," English"," English",1," New York, N.Y.","Dec 3, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91809554?accountid=13567",1,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=LATER.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-03&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"REPORTS FROM LOUISVILLE.","The Journal of this morning has the following: Gen. THOMAS has abandoned his strong position at Franklin, and formed his line of battle within three miles of Nashville.",91823819,"Historical Newspapers",," Copyright New York Times Company Dec 3, 1864"," 78735417 , 1446429 , 113715"," front_page"," Dec 3, 1864","0362-4331"," English"," English",1," New York, N.Y.","Dec 3, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91823819?accountid=13567",1,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=REPORTS+FROM+LOUISVILLE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-03&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"FROM NASHVILLE.","I have received full accounts of the late battle at Franklin, and its antecedents, which was one of the most brilliant in its general results of the war. For three days sharp skirmishing was kept up during the retirement of our army from Duck River to Franklin, during which time a multiplicity of exploits and successes resulted to the Federal arms.",91809504,"Historical Newspapers",," Copyright New York Times Company Dec 3, 1864"," 78735415 , 1446429 , 113715"," front_page"," Dec 3, 1864","0362-4331"," English"," English",1," New York, N.Y.","Dec 3, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91809504?accountid=13567",1,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+NASHVILLE.%3A+THE+POSITION+OF+THE+OPPOSING+ARMIES.+NO+FIGHTING+SINCE+WEDNESDAY+HOOD+DEMONSTRATING+TOWARD+MURFREESBORO%27.+FURTHER+DETAILS+OF+THE+BATTLE+OF+FRANKLIN.+THE+REBEL+GENERAL+CLEBURNE+KILLED+THE+REBEL+LOSS+FULLY+SIX+THOUSAND--OUR+LOSS+ONE+THOUSAND.+GEN.+THOMAS+MASTER+OF+THE+SITUATION&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-03&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"ANOTHER ACCOUNT.","About noon on Wednesday our main army reached Franklin, when Gen. SCHOFIELD prepared to give the enemy battle. There was very little skirmishing, as HOOD'S object was to attack us before we had time to throw up defensive works.",91812069,"Historical Newspapers",," Copyright New York Times Company Dec 2, 1864"," 78735318 , 1446428 , 113715"," front_page"," Dec 2, 1864","0362-4331"," English"," English",1," New York, N.Y.","Dec 2, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91812069?accountid=13567",1,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=ANOTHER+ACCOUNT.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"Franklin.",,91839855,"Historical Newspapers",," Copyright New York Times Company Dec 2, 1864"," 78735324 , 1446428 , 113715"," front_page"," Dec 2, 1864","0362-4331"," English"," English",1," New York, N.Y.","Dec 2, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91839855?accountid=13567",1,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Franklin.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"PRELIMINARY DETAILS.",,91841721,"Historical Newspapers",," Copyright New York Times Company Dec 2, 1864"," 78735322 , 1446428 , 113715"," front_page"," Dec 2, 1864","0362-4331"," English"," English",1," New York, N.Y.","Dec 2, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91841721?accountid=13567",1,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=PRELIMINARY+DETAILS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"Further Details.",,91847750,"Historical Newspapers",," Copyright New York Times Company Dec 2, 1864"," 78735319 , 1446428 , 113715"," front_page"," Dec 2, 1864","0362-4331"," English"," English",1," New York, N.Y.","Dec 2, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91847750?accountid=13567",1,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Further+Details.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"TENNESSEE.",,91822736,"Historical Newspapers",," Copyright New York Times Company Dec 2, 1864"," 78735315-1 , 1446428 , 113715"," front_page"," Dec 2, 1864","0362-4331"," English"," English",1," New York, N.Y.","Dec 2, 1864","New York Times (1857-1922)",1864,"http://search.proquest.com/docview/91822736?accountid=13567",1,"http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=TENNESSEE.%3A+A+SEVERE+BATTLE+AT+FRANKLIN%2C+TENN.+HOOD+DEFEATED+BY+THOMAS.+THE+REBELS+DESPERATELY+ASSAULT+OUR+WORKS.+THEY+ARE+REPULSED+WITH+FEARFUL+CARNAGE.+SIX+THOUSAND+REBELS+KILLED+AND+WOUNDED.+TWELVE+HUNDRED+PRISONERS+CAPTURED+OUR+LOSS+LESS+THAN+ONE+THOUSAND.+MAGNIFICENT+BEHAVIOR+OF+OUR+TROOPS+FULL+AND+GRAPHIC+ACCOUNT+FROM+OUR+SPECIAL+CORRESPONDENT.+OFFICIAL+ANNOUNCEMENT.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-12-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331","ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
