"battle","pubdate","DocumentURL","Title","Abstract","StoreId","ArticleType","Authors","copyright","digitalObjectIdentifier","documentType","entryDate","issn","language","languageOfSummary","pages","placeOfPublication","pubtitle","year","startPage","Database"
"AL003",1864-09-06,"http://search.proquest.com/docview/91801166","DEPARTMENT OF THE GULF.","The steamer Cahawba, from New-Orleans 28th ult., arrived yesterday. Among the passengers is Gen. BAILEY.",91801166,"Historical Newspapers",""," Copyright New York Times Company Sep 6, 1864"," 78992233 , 1449492 , 113715"," article",1864-09-06,"0362-4331"," English"," English",5," New York, N.Y.","New York Times (1857-1922)",1864,5,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-09-06,"http://search.proquest.com/docview/91804297","MOBILE.","I have the honor and pleasure of being able to give you a full description of the engagement which has compelled the unconditional surrender of the remaining rebel stronghold of Mobile Bay.",91804297,"Historical Newspapers",""," Copyright New York Times Company Sep 6, 1864"," 78992234 , 1449492 , 113715"," article",1864-09-06,"0362-4331"," English"," English",5," New York, N.Y.","New York Times (1857-1922)",1864,5,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-09-06,"http://search.proquest.com/docview/91810951","MOBILE.","The following is a letter from the late executive officer of the Tennessee, which we publish as the first account of the fight in Mobile bay from any person who was on board that ship during the action:",91810951,"Historical Newspapers",""," Copyright New York Times Company Sep 6, 1864"," 78992259 , 1449492 , 113715"," article",1864-09-06,"0362-4331"," English"," English",8," New York, N.Y.","New York Times (1857-1922)",1864,8,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-09-04,"http://search.proquest.com/docview/91843987","OPERATIONS BELOW MOBILE.","The monitors Winnebago and Chickasaw, built at St. Louis, played an important bart in the Mobile fight. It is due to the St. Louis mechanics that the following letter, addressed to the Hon. H.T. BLOW, should be given to the public. The writer, Mr. SHOCK, is Chief Engineer of Admiral FARRAGUT'S fleet:",91843987,"Historical Newspapers",""," Copyright New York Times Company Sep 4, 1864"," 82014510-1 , 1470619 , 113715"," article",1864-09-04,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-09-03,"http://search.proquest.com/docview/91862160","SURRENDER OF FORT MORGAN.","SIR: I had the honor in my dispatch, No. 31, to state to the Department that Fort Morgan had surrendered on the 23d inst. to the army and navy, though at the time the dispatch was written and mailed the ceremony of surrender had not actually taken place.",91862160,"Historical Newspapers",""," Copyright New York Times Company Sep 3, 1864"," 78991993-1 , 1449490 , 113715"," front_page",1864-09-03,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-09-02,"http://search.proquest.com/docview/91859539","Gen. Canby's Report of the Fall of Fort Morgan.","By the surrender of Fort Morgan we have about six hundred prisoners, sixty pieces of artillery, and a large quantity of material. In the twelve hours preceding the surrender, about 3,000 shell were thrown into the fort. The citadel and barracks are entirely destroyed, and the works generally much injured. Many of the guns were spiked, the carriages burned, and much of the ammunition destroyed by the rebels. The losses in the army were one man killed and seven wounded, (Signed.)",91859539,"Historical Newspapers",""," Copyright New York Times Company Sep 2, 1864"," 78991916 , 1449488 , 113715"," front_page",1864-09-02,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-09-02,"http://search.proquest.com/docview/91886692","FROM NEW-ORLEANS.","The steamship Yazoo, Capt. COUCH, from NewOrleans Aug. 24, with the mails, merchandise and passengers to LUDLAM, HEINEKEN &amp; Co., arrived yesterday morning. She passed in the river, bound up, United States navy dispatch steamer Tennessee and gunboat Bienville, with prisoners from Fort Morgan. The United States transport McClellan left New-Orleans at 3 A.M. of the 24th, for New-York via Mobile.",91886692,"Historical Newspapers",""," Copyright New York Times Company Sep 2, 1864"," 78991917 , 1449488 , 113715"," front_page",1864-09-02,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-09-02,"http://search.proquest.com/docview/91875436","DETAILS OF NEWS.","The time is getting to be very tedious while awaiting our next grand attack. The wooden vessels are merely lying on their oars; the army is, however, very busy in their preparations for attack on Morgan. They completed their first battery on Sunday evening, and at 6:40 P.M., opened on the fort to obtain range, &amp; c., I suppose.",91875436,"Historical Newspapers",""," Copyright New York Times Company Sep 2, 1864"," 78991918 , 1449488 , 113715"," front_page",1864-09-02,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-09-01,"http://search.proquest.com/docview/91829270","THE SITUATION.","The flag of truce boat returned last evening. The Yankees say Fort Morgan capitulated at 2 o'clock last Tuesday. On Monday afternoon they concentrated their fire on the fort, when the bombardment was renewed spiritedly.",91829270,"Historical Newspapers",""," Copyright New York Times Company Sep 1, 1864"," 78991810-1 , 1449487 , 113715"," front_page",1864-09-01,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-31,"http://search.proquest.com/docview/91813592","DEPARTMENT OF THE GULF.","Our files of New-Orleans papers, to Aug. 21, give us the following interesting details of news: FORT MORGAN. Under date of Aug. 14, a correspondent of the New-Orleans Times writes from Mobile Bay:",91813592,"Historical Newspapers",""," Copyright New York Times Company Aug 31, 1864"," 78731132 , 1446383 , 113715"," article",1864-08-31,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-30,"http://search.proquest.com/docview/91860181","SOUTHERN NEWS.","The Evening Telegraph has Richmond papers, including the following extracts:",91860181,"Historical Newspapers",""," Copyright New York Times Company Aug 30, 1864"," 78731031 , 1446382 , 113715"," front_page",1864-08-30,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-30,"http://search.proquest.com/docview/91887126","FALL OF FORT MORGAN.","The capture of Fort Morgan is fully confirmed by dispatches from Gens. GRANT and SHERMAN, who derive their information from Richmond and Mobile papers.",91887126,"Historical Newspapers",""," Copyright New York Times Company Aug 30, 1864"," 78731023 , 1446382 , 113715"," front_page",1864-08-30,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-29,"http://search.proquest.com/docview/91858460","Admiral Farragut's Operations at Mobile.","Maj.-Gen. Dix: A dispatch from Gen. GRANT, just received, states that the Richmond papers of yesterday, (27th) announce that Fort Morgan is in our possession. It is not stated whether the fort was surrendered or whether it was blown up.",91858460,"Historical Newspapers",""," Copyright New York Times Company Aug 29, 1864"," 78730940-1 , 1446381 , 113715"," front_page",1864-08-29,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-29,"http://search.proquest.com/docview/91861299","The Defences of Mobile Bay.","",91861299,"Historical Newspapers",""," Copyright New York Times Company Aug 29, 1864"," 78730956 , 1446381 , 113715"," article",1864-08-29,"0362-4331"," English"," English",3," New York, N.Y.","New York Times (1857-1922)",1864,3,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-28,"http://search.proquest.com/docview/91851849","SOUTHERN NEWS.","The Richmond papers to Aug. 22, the receipt of which we have already acknowledged, furnish us the following interesting extracts in addition to those already published:",91851849,"Historical Newspapers",""," Copyright New York Times Company Aug 28, 1864"," 78730866 , 1446380 , 113715"," article",1864-08-28,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-28,"http://search.proquest.com/docview/91850458","NEWS FROM WASHINGTON.","FROM ADMIRAL FARRAGUT. The Navy Department is in receipt of dispatches from Admiral FARRAGUT, dated Mobile Bay, Aug. 12, giving a detailed report of his entrance into Mobile Bay on the 5th inst. He says, notwithstanding the loss of life, particularly on the Hartford, and the terrible disaster to the Tecumseh, the result of the fight was a ...",91850458,"Historical Newspapers",""," Copyright New York Times Company Aug 28, 1864"," 78730887 , 1446380 , 113715"," article",1864-08-28,"0362-4331"," English"," English",4," New York, N.Y.","New York Times (1857-1922)",1864,4,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-27,"http://search.proquest.com/docview/91861962","The Fight in Mobile Bay.","The subjoined extract from a private letter describes the fight with the ram Tennessee, as witnessed from the flag-ship Hartford:",91861962,"Historical Newspapers",""," Copyright New York Times Company Aug 27, 1864"," 80297648 , 1459081 , 113715"," article",1864-08-27,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
